,lat,lon,speed,u10,v10,dir
64756,89.5,136.0,1.8387104,0.04623918,0.7415047,3.5682678
64757,89.5,137.0,1.8362584,0.057068545,0.74166995,4.400017
64758,89.5,138.0,1.83452,0.06789795,0.74233073,5.226074
64759,89.5,139.0,1.8329493,0.078727365,0.7429916,6.0485
64760,89.5,140.0,1.8320087,0.089402,0.7436524,6.8552094
64761,89.5,141.0,1.8312019,0.10023141,0.74447846,7.667801
64762,89.5,142.0,1.8307396,0.11106082,0.74497414,8.479218
64763,89.5,143.0,1.8308042,0.12204492,0.7454698,9.2977295
64764,89.5,144.0,1.8308083,0.13241017,0.74613065,10.063087
64765,89.5,145.0,1.8261547,0.14277554,0.7441481,10.861038
64766,89.5,146.0,1.8210912,0.15468776,0.74166995,11.781113
64767,89.5,147.0,1.816482,0.1662908,0.73919183,12.678368
64768,89.5,148.0,1.8125753,0.17789368,0.7367137,13.57531
64769,89.5,149.0,1.8087616,0.18980606,0.7342355,14.494141
64770,89.5,150.0,1.8052597,0.20140898,0.7317574,15.389046
64771,89.5,151.0,1.8021511,0.21363072,0.7292793,16.32711
64772,89.5,152.0,1.7996114,0.22492425,0.72680116,17.195808
64773,89.5,153.0,1.7973032,0.2368366,0.72432303,18.10653
64774,89.5,154.0,1.7955555,0.24874894,0.72201014,19.010002
64775,89.5,155.0,1.7941328,0.26081583,0.7196972,19.92035
64776,89.5,156.0,1.7931885,0.27288294,0.7173843,20.826118
64777,89.5,157.0,1.7923784,0.28464067,0.71490604,21.710037
64778,89.5,158.0,1.7923256,0.29655293,0.71259314,22.595139
64779,89.5,159.0,1.7889924,0.30444297,0.7106107,23.191475
64780,89.5,160.0,1.7835404,0.31511763,0.7051587,24.078667
64781,89.5,161.0,1.7782835,0.32641104,0.6993764,25.01928
64782,89.5,162.0,1.7733722,0.3373953,0.69359416,25.940369
64783,89.5,163.0,1.7689117,0.34837934,0.68764657,26.867943
64784,89.5,164.0,1.7648464,0.3598275,0.68169904,27.826855
64785,89.5,165.0,1.761342,0.37065694,0.67591685,28.739334
64786,89.5,166.0,1.75811,0.3821052,0.66996926,29.697521
64787,89.5,167.0,1.7554299,0.39355338,0.6640217,30.654442
64788,89.5,168.0,1.7530414,0.40484688,0.65807414,31.599808
64789,89.5,169.0,1.7511438,0.41660443,0.65196145,32.57865
64790,89.5,170.0,1.7497157,0.4277433,0.646014,33.50962
64791,89.5,171.0,1.7485042,0.4391915,0.639736,34.47038
64792,89.5,172.0,1.748242,0.45094922,0.63378847,35.432377
64793,89.5,173.0,1.7471813,0.46146926,0.6283365,36.29468
64794,89.5,174.0,1.7413305,0.4707515,0.6197457,37.219875
64795,89.5,175.0,1.7352748,0.48018858,0.61032873,38.194622
64796,89.5,176.0,1.7302208,0.48947084,0.6015727,39.1336
64797,89.5,177.0,1.7253157,0.49875322,0.59215575,40.106327
64798,89.5,178.0,1.7207848,0.5081902,0.58273894,41.090767
64799,89.5,179.0,1.7167829,0.51762736,0.5733219,42.077507
64080,88.5,-180.0,2.0480745,0.44058397,0.7555475,30.247833
64081,88.5,-179.0,2.0395184,0.45914853,0.7441481,31.675098
64082,88.5,-178.0,2.0305662,0.47817734,0.73241824,33.139503
64083,88.5,-177.0,2.0210836,0.49797976,0.7206884,34.64362
64084,88.5,-176.0,2.0123289,0.5176273,0.7086282,36.146782
64085,88.5,-175.0,2.0042832,0.5377391,0.69706345,37.647854
64086,88.5,-174.0,1.9965972,0.55754143,0.68483806,39.149784
64087,88.5,-173.0,1.9846212,0.5711555,0.6669955,40.573803
64088,88.5,-172.0,1.9732089,0.58446014,0.6489877,42.005314
64089,88.5,-171.0,1.9622606,0.5977649,0.63081473,43.45907
64090,88.5,-170.0,1.9497347,0.60936767,0.6151198,44.73085
64091,88.5,-169.0,1.9380593,0.62097067,0.599425,46.011433
64092,88.5,-168.0,1.9265976,0.6322642,0.5835649,47.293724
64093,88.5,-167.0,1.9159446,0.64371234,0.56787,48.581917
64094,88.5,-166.0,1.9046217,0.6567078,0.55019265,50.043583
64095,88.5,-165.0,1.8933386,0.67140484,0.530698,51.676125
64096,88.5,-164.0,1.8828293,0.6862564,0.5113686,53.308117
64097,88.5,-163.0,1.8702965,0.69600296,0.4936912,54.65103
64098,88.5,-162.0,1.8560723,0.7025005,0.4770051,55.82309
64099,88.5,-161.0,1.8421441,0.7088435,0.460319,57.000534
64100,88.5,-160.0,1.8288678,0.7148771,0.44363287,58.177414
64101,88.5,-159.0,1.8164536,0.72122,0.42711195,59.36566
64102,88.5,-158.0,1.8038038,0.7339058,0.41009545,60.804207
64103,88.5,-157.0,1.7916694,0.74659175,0.39274848,62.25315
64104,88.5,-156.0,1.7801679,0.75896806,0.37589708,63.651985
64105,88.5,-155.0,1.766682,0.76825047,0.36218485,64.75888
64106,88.5,-154.0,1.754075,0.77799684,0.3484725,65.87192
64107,88.5,-153.0,1.741738,0.78743404,0.33459485,66.97849
64108,88.5,-152.0,1.7302319,0.796871,0.32088253,68.06644
64109,88.5,-151.0,1.7161375,0.80182165,0.3061789,69.10044
64110,88.5,-150.0,1.6995875,0.80244046,0.29031885,70.11014
64111,88.5,-149.0,1.6836411,0.8027498,0.274624,71.113976
64112,88.5,-148.0,1.669475,0.80507046,0.26041606,72.075165
64113,88.5,-147.0,1.6563276,0.80831915,0.24703412,73.00609
